"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 2022 to Mar 2023","Scotland","East Midlands thousands","211",211,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","West Midlands thousands","306",306,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","East England thousands","307",307,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","London thousands","3,234",3234,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","South East thousands","216",216,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","South West thousands","73",73,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","Wales thousands","33",33,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","Journeys within Scotland thousands","60,254",60254,28,"Within region"
"Apr 2022 to Mar 2023","South East","North East thousands","184",184,28,"Between regions"
"Apr 2022 to Mar 2023","South East","North West thousands","1,158",1158,28,"Between regions"
"Apr 2022 to Mar 2023","South East","Yorkshire and the Humber thousands","509",509,28,"Between regions"
"Apr 2022 to Mar 2023","South East","East Midlands thousands","953",953,28,"Between regions"
"Apr 2022 to Mar 2023","South East","West Midlands thousands","2,586",2586,28,"Between regions"
"Apr 2022 to Mar 2023","South East","East England thousands","3,282",3282,28,"Between regions"
"Apr 2022 to Mar 2023","South East","London thousands","145,096",145096,28,"Between regions"
"Apr 2022 to Mar 2023","South East","South West thousands","5,716",5716,28,"Between regions"
"Apr 2022 to Mar 2023","South East","Wales thousands","518",518,28,"Between regions"
"Apr 2022 to Mar 2023","South East","Scotland thousands","216",216,28,"Between regions"
"Apr 2022 to Mar 2023","South East","Journeys within South East thousands","68,522",68522,28,"Within region"
"Apr 2022 to Mar 2023","South West","North East thousands","86",86,28,"Between regions"
"Apr 2022 to Mar 2023","South West","North West thousands","514",514,28,"Between regions"
"Apr 2022 to Mar 2023","South West","Yorkshire and the Humber thousands","326",326,28,"Between regions"
"Apr 2022 to Mar 2023","South West","East Midlands thousands","290",290,28,"Between regions"
"Apr 2022 to Mar 2023","South West","West Midlands thousands","1,572",1572,28,"Between regions"
"Apr 2022 to Mar 2023","South West","East England thousands","497",497,28,"Between regions"
"Apr 2022 to Mar 2023","South West","London thousands","11,442",11442,28,"Between regions"
"Apr 2022 to Mar 2023","South West","South East thousands","5,716",5716,28,"Between regions"
"Apr 2022 to Mar 2023","South West","Wales thousands","2,588",2588,28,"Between regions"
"Apr 2022 to Mar 2023","South West","Scotland thousands","73",73,28,"Between regions"
"Apr 2022 to Mar 2023","South West","Journeys within South West thousands","23,487",23487,28,"Within region"
"Apr 2022 to Mar 2023","Wales","North East thousands","20",20,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","North West thousands","1,884",1884,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","Yorkshire and the Humber thousands","90",90,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","East Midlands thousands","99",99,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","West Midlands thousands","1,247",1247,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","East England thousands","114",114,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","London thousands","2,073",2073,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","South East thousands","518",518,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","South West thousands","2,588",2588,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","Scotland thousands","33",33,28,"Between regions"
"Apr 2022 to Mar 2023","Wales","Journeys within Wales thousands","14,816",14816,28,"Within region"
"Apr 2022 to Mar 2023","West Midlands","North East thousands","172",172,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","North West thousands","4,540",4540,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","Yorkshire and the Humber thousands","847",847,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","East Midlands thousands","3,970",3970,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","East England thousands","694",694,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","London thousands","9,797",9797,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","South East thousands","2,586",2586,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","South West thousands","1,572",1572,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","Wales thousands","1,247",1247,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","Scotland thousands","306",306,28,"Between regions"
"Apr 2022 to Mar 2023","West Midlands","Journeys within West Midlands thousands","43,039",43039,28,"Within region"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","North East thousands","2,629",2629,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","North West thousands","8,437",8437,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","East Midlands thousands","3,842",3842,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","West Midlands thousands","847",847,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","East England thousands","958",958,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","London thousands","7,175",7175,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","South East thousands","509",509,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","South West thousands","326",326,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","Wales thousands","90",90,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","Scotland thousands","886",886,28,"Between regions"
"Apr 2022 to Mar 2023","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","34,656",34656,28,"Within region"
"Apr 2023 to Mar 2024","East Midlands","North East thousands","224",224,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","North West thousands","3,120",3120,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","Yorkshire and the Humber thousands","4,061",4061,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","West Midlands thousands","4,290",4290,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","East England thousands","1,893",1893,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","London thousands","8,454",8454,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","South East thousands","1,029",1029,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","South West thousands","339",339,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","Wales thousands","132",132,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","Scotland thousands","252",252,29,"Between regions"
"Apr 2023 to Mar 2024","East Midlands","Journeys within East Midlands thousands","8,820",8820,29,"Within region"
"Apr 2023 to Mar 2024","East England","North East thousands","334",334,29,"Between regions"
"Apr 2023 to Mar 2024","East England","North West thousands","611",611,29,"Between regions"
"Apr 2023 to Mar 2024","East England","Yorkshire and the Humber thousands","979",979,29,"Between regions"
"Apr 2023 to Mar 2024","East England","East Midlands thousands","1,893",1893,29,"Between regions"
"Apr 2023 to Mar 2024","East England","West Midlands thousands","771",771,29,"Between regions"
"Apr 2023 to Mar 2024","East England","London thousands","121,150",121150,29,"Between regions"
"Apr 2023 to Mar 2024","East England","South East thousands","3,677",3677,29,"Between regions"
"Apr 2023 to Mar 2024","East England","South West thousands","598",598,29,"Between regions"
"Apr 2023 to Mar 2024","East England","Wales thousands","153",153,29,"Between regions"
"Apr 2023 to Mar 2024","East England","Scotland thousands","311",311,29,"Between regions"
"Apr 2023 to Mar 2024","East England","Journeys within East England thousands","32,310",32310,29,"Within region"
"Apr 2023 to Mar 2024","London","North East thousands","2,917",2917,29,"Between regions"
"Apr 2023 to Mar 2024","London","North West thousands","9,677",9677,29,"Between regions"
"Apr 2023 to Mar 2024","London","Yorkshire and the Humber thousands","7,679",7679,29,"Between regions"
"Apr 2023 to Mar 2024","London","East Midlands thousands","8,454",8454,29,"Between regions"
"Apr 2023 to Mar 2024","London","West Midlands thousands","11,179",11179,29,"Between regions"
"Apr 2023 to Mar 2024","London","East England thousands","121,150",121150,29,"Between regions"
"Apr 2023 to Mar 2024","London","South East thousands","165,515",165515,29,"Between regions"
"Apr 2023 to Mar 2024","London","South West thousands","12,525",12525,29,"Between regions"
"Apr 2023 to Mar 2024","London","Wales thousands","2,295",2295,29,"Between regions"
"Apr 2023 to Mar 2024","London","Scotland thousands","3,498",3498,29,"Between regions"
"Apr 2023 to Mar 2024","London","Journeys within London thousands","607,021",607021,29,"Within region"
"Apr 2023 to Mar 2024","North East","North West thousands","1,355",1355,29,"Between regions"
"Apr 2023 to Mar 2024","North East","Yorkshire and the Humber thousands","2,778",2778,29,"Between regions"
"Apr 2023 to Mar 2024","North East","East Midlands thousands","224",224,29,"Between regions"
"Apr 2023 to Mar 2024","North East","West Midlands thousands","199",199,29,"Between regions"
"Apr 2023 to Mar 2024","North East","East England thousands","334",334,29,"Between regions"
"Apr 2023 to Mar 2024","North East","London thousands","2,917",2917,29,"Between regions"
"Apr 2023 to Mar 2024","North East","South East thousands","195",195,29,"Between regions"
"Apr 2023 to Mar 2024","North East","South West thousands","97",97,29,"Between regions"
"Apr 2023 to Mar 2024","North East","Wales thousands","37",37,29,"Between regions"
"Apr 2023 to Mar 2024","North East","Scotland thousands","1,953",1953,29,"Between regions"
"Apr 2023 to Mar 2024","North East","Journeys within North East thousands","6,668",6668,29,"Within region"
"Apr 2023 to Mar 2024","North West","North East thousands","1,355",1355,29,"Between regions"
"Apr 2023 to Mar 2024","North West","Yorkshire and the Humber thousands","9,305",9305,29,"Between regions"
"Apr 2023 to Mar 2024","North West","East Midlands thousands","3,120",3120,29,"Between regions"
"Apr 2023 to Mar 2024","North West","West Midlands thousands","5,210",5210,29,"Between regions"
"Apr 2023 to Mar 2024","North West","East England thousands","611",611,29,"Between regions"
"Apr 2023 to Mar 2024","North West","London thousands","9,677",9677,29,"Between regions"
"Apr 2023 to Mar 2024","North West","South East thousands","1,418",1418,29,"Between regions"
"Apr 2023 to Mar 2024","North West","South West thousands","609",609,29,"Between regions"
"Apr 2023 to Mar 2024","North West","Wales thousands","2,118",2118,29,"Between regions"
"Apr 2023 to Mar 2024","North West","Scotland thousands","2,564",2564,29,"Between regions"
"Apr 2023 to Mar 2024","North West","Journeys within North West thousands","82,581",82581,29,"Within region"
"Apr 2023 to Mar 2024","Scotland","North East thousands","1,953",1953,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","North West thousands","2,564",2564,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","Yorkshire and the Humber thousands","976",976,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","East Midlands thousands","252",252,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","West Midlands thousands","398",398,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","East England thousands","311",311,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","London thousands","3,498",3498,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","South East thousands","224",224,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","South West thousands","77",77,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","Wales thousands","53",53,29,"Between regions"
"Apr 2023 to Mar 2024","Scotland","Journeys within Scotland thousands","74,565",74565,29,"Within region"
"Apr 2023 to Mar 2024","South East","North East thousands","195",195,29,"Between regions"
"Apr 2023 to Mar 2024","South East","North West thousands","1,418",1418,29,"Between regions"
"Apr 2023 to Mar 2024","South East","Yorkshire and the Humber thousands","569",569,29,"Between regions"
"Apr 2023 to Mar 2024","South East","East Midlands thousands","1,029",1029,29,"Between regions"
"Apr 2023 to Mar 2024","South East","West Midlands thousands","2,683",2683,29,"Between regions"
"Apr 2023 to Mar 2024","South East","East England thousands","3,677",3677,29,"Between regions"
"Apr 2023 to Mar 2024","South East","London thousands","165,515",165515,29,"Between regions"
"Apr 2023 to Mar 2024","South East","South West thousands","6,181",6181,29,"Between regions"
"Apr 2023 to Mar 2024","South East","Wales thousands","603",603,29,"Between regions"
"Apr 2023 to Mar 2024","South East","Scotland thousands","224",224,29,"Between regions"
"Apr 2023 to Mar 2024","South East","Journeys within South East thousands","73,213",73213,29,"Within region"
"Apr 2023 to Mar 2024","South West","North East thousands","97",97,29,"Between regions"
"Apr 2023 to Mar 2024","South West","North West thousands","609",609,29,"Between regions"
"Apr 2023 to Mar 2024","South West","Yorkshire and the Humber thousands","368",368,29,"Between regions"
"Apr 2023 to Mar 2024","South West","East Midlands thousands","339",339,29,"Between regions"
"Apr 2023 to Mar 2024","South West","West Midlands thousands","1,711",1711,29,"Between regions"
"Apr 2023 to Mar 2024","South West","East England thousands","598",598,29,"Between regions"
"Apr 2023 to Mar 2024","South West","London thousands","12,525",12525,29,"Between regions"
"Apr 2023 to Mar 2024","South West","South East thousands","6,181",6181,29,"Between regions"
"Apr 2023 to Mar 2024","South West","Wales thousands","3,025",3025,29,"Between regions"
"Apr 2023 to Mar 2024","South West","Scotland thousands","77",77,29,"Between regions"
"Apr 2023 to Mar 2024","South West","Journeys within South West thousands","25,361",25361,29,"Within region"
